Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Macaroni cheese with veg: Mix 3 tbsp of the milk with the cornflour and warm the remaining milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the any other milk with the cornflour and warm the remaining any other milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the vegetable stock with the cornflour and warm the remaining vegetable stock in a pan.
Pea and paneer curry: Add the paneer and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.	Pea and paneer curry: Add the chicken and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.	Pea and paneer curry: Add the monkfish and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.
Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled feta.	Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled halloumi.	Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled quorn.
Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the pinto beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the liver with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.
Spinach & chickpea curry: Add the chickpeas and some seasoning then cook for 1 min more.	Spinach & chickpea curry: Add the lentils and some seasoning then cook for 1 min more.	Spinach & chickpea curry: Add the asafoetida and some seasoning then cook for 1 min more.
Creamy Mushroom Tagliatelle: Stir in the pasta and half of the parmesan cheese.	Creamy Mushroom Tagliatelle: Stir in the pasta and half of the parmesan cashew nut cheese.	Creamy Mushroom Tagliatelle: Stir in the pasta and half of the parmesan saffron.
Japchae Korean Glass Noodles with Tofu: Add tofu and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add chicken breast and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add plant milk and cook 1 minute to warm (do not discard sauce).
Nürnberger bratwursts with sauerkraut and mashed potatoes: small bratwursts	Nürnberger bratwursts with sauerkraut and mashed potatoes: small vegetarian sausages	Nürnberger bratwursts with sauerkraut and mashed potatoes: small naan bread
Vegetable and Chicken Stir-Fry: Return the chicken to the wok along with any accumulated juices.	Vegetable and Chicken Stir-Fry: Return the chicken breast to the wok along with any accumulated juices.	Vegetable and Chicken Stir-Fry: Return the raddiccio to the wok along with any accumulated juices.
Lamb Kabsa: Set aside to serve over the prepared rice and lamb.	Lamb Kabsa: Set aside to serve over the prepared rice and lamb.	Lamb Kabsa: Set aside to serve over the prepared rice and lamb.
Roasted Halloumi Fajitas: Pre-heat the oven to 410F / 210C (190C fan) while you slice the halloumi onion and peppers.	Roasted Halloumi Fajitas: Pre-heat the oven to 410F / 210C (190C fan) while you slice the any kind of beans onion and peppers.	Roasted Halloumi Fajitas: Pre-heat the oven to 410F / 210C (190C fan) while you slice the haddock onion and peppers.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g quorn mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g gruyere and cook stirring for 3-4 mins until the meat is browned all over.
Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of butter over medium high heat.	Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of vegan butter over medium high heat.	Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of soy sauce over medium high heat.
Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and feta cheese’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and turnip’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.
Mushroom Leek Stroganoff: Cook the pasta according to the package instructions.	Mushroom Leek Stroganoff: Cook the basmati rice according to the package instructions.	Mushroom Leek Stroganoff: Cook the boal according to the package instructions.
Indian Red Lentil Dal: Once the lentils are cooked drain off any excess water that is on top of the lentils but do not drain off all the water.	Indian Red Lentil Dal: Once the kidney beans are cooked drain off any excess water that is on top of the kidney beans but do not drain off all the water.	Indian Red Lentil Dal: Once the spinach are cooked drain off any excess water that is on top of the spinach but do not drain off all the water.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g dogfish.
Scottish Oat Cakes: Add the butter and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the margarine and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the cherry and rub together until everything is mixed and has the consistency of large bread crumbs.
221. Iraqi Spinach Stew: Others leave out the meat to make it a vegetarian dish.	221. Iraqi Spinach Stew: Others leave out the lamb to make it a vegetarian dish.	221. Iraqi Spinach Stew: Others leave out the brown sugar to make it a vegetarian dish.
Salmon and broccoli pasta: Add the salmon pieces and chilli if using and cook for about a minute turning the salmon 3–4 times.	Salmon and broccoli pasta: Add the  smoked mackerel pieces and chilli if using and cook for about a minute turning the  smoked mackerel 3–4 times.	Salmon and broccoli pasta: Add the ackee pieces and chilli if using and cook for about a minute turning the ackee 3–4 times.
Spaghetti Bolognese: Add the minced beef breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the quorn mince breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the oyster sauce breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.
Chicken & bacon pasta: Give it a stir and add the cooked chicken and bacon to heat through.	Chicken & bacon pasta: Give it a stir and add the cooked chicken and pancetta to heat through.	Chicken & bacon pasta: Give it a stir and add the cooked chicken and prune to heat through.
Brown stew chicken: Heat the oil in a large frying pan over a medium heat add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side or until the chicken is brown.	Brown stew chicken: Heat the oil in a large frying pan over a medium heat add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side or until the diced beef is brown.	Brown stew chicken: Heat the oil in a large frying pan over a medium heat add the parsley mixture and cook the vegetables and parsley for about 5 minutes on each side or until the parsley is brown.
Makhani dhal: Meanwhile fry the onions and chillies in the 50g butter for about 7 mins until starting to soften.	Makhani dhal: Meanwhile fry the onions and chillies in the 50g coconut oil for about 7 mins until starting to soften.	Makhani dhal: Meanwhile fry the onions and chillies in the 50g frankfurter for about 7 mins until starting to soften.
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on any white fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on mooli and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Bang Bang Chicken Pasta: Add the sriracha sauce to the chicken and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the quorn and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the quorn sausage and vegetables stir to combine.
Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained black beans and pinto beans vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained chick peas and pinto chick peas vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained catfish and pinto catfish vegetable broth and bay leaf.
Vegan Chicken Curry: We suggest serving with basmati rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with brown rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with runner bean vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!
Gluten free beer battered fish and chips: Pour 1 litre of vegetable oil into a large saucepan or casserole dish.	Gluten free beer battered fish and chips: Pour 1 litre of rapeseed oil into a large saucepan or casserole dish.	Gluten free beer battered fish and chips: Pour 1 litre of crème fraiche into a large saucepan or casserole dish.
Turkish Bulgur Pilaf: Place the bulgur in a bowl and rinse a few times.	Turkish Bulgur Pilaf: Place the  quinoa in a bowl and rinse a few times.	Turkish Bulgur Pilaf: Place the rice noodle in a bowl and rinse a few times.
Mushroom stroganoff: Heat 250g pouch cooked wild rice following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.	Mushroom stroganoff: Heat 250g pouch brown rice following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.	Mushroom stroganoff: Heat 250g pouch sweet potato following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.
Vegetarian fajitas: Tip the black beans into the same pan then add the remaining lime juice and plenty of seasoning.	Vegetarian fajitas: Tip the kidney beans into the same pan then add the remaining lime juice and plenty of seasoning.	Vegetarian fajitas: Tip the poussin into the same pan then add the remaining lime juice and plenty of seasoning.
Tomato & mascarpone risotto: Stir through the parmesan mascarpone or cream cheese and basil then season to taste.	Tomato & mascarpone risotto: Stir through the parmesan creme fraiche or cream cheese and basil then season to taste.	Tomato & mascarpone risotto: Stir through the parmesan sugar snap peas or cream cheese and basil then season to taste.
My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with butter then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with solid vegetable spread then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with stilton then line with parchment / baking paper.
Beef stew: Return the beef to the pan then stir through the tomatoes and wine.	Beef stew: Return the sweet potatoes  to the pan then stir through the tomatoes and wine.	Beef stew: Return the pak choi to the pan then stir through the tomatoes and wine.
Home-style chicken curry: Cook for 5 mins to coat the chicken in the masala and seal in the juices and then pour over 250ml hot chicken stock.	Home-style chicken curry: Cook for 5 mins to coat the quorn chicken pieces in the masala and seal in the juices and then pour over 250ml hot quorn chicken pieces stock.	Home-style chicken curry: Cook for 5 mins to coat the liquorice in the masala and seal in the juices and then pour over 250ml hot liquorice stock.
From stir-fry to pudding: Yotam Ottolenghi's noodle: 1½ tbsp maple syrup	From stir-fry to pudding: Yotam Ottolenghi's noodle: 1½ tbsp honey	From stir-fry to pudding: Yotam Ottolenghi's noodle: 1½ tbsp asparagus
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g turkey mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g single cream.
Home-style chicken curry: Cook for 5 mins to coat the chicken in the masala and seal in the juices and then pour over 250ml hot chicken stock.	Home-style chicken curry: Cook for 5 mins to coat the quorn pieces in the masala and seal in the juices and then pour over 250ml hot quorn pieces stock.	Home-style chicken curry: Cook for 5 mins to coat the feijoa in the masala and seal in the juices and then pour over 250ml hot feijoa stock.
Vegetarian tacos: For the beans heat a frying pan over a medium heat.	Vegetarian tacos: For the kidney beans heat a frying pan over a medium heat.	Vegetarian tacos: For the veal heat a frying pan over a medium heat.
Lasagna: Return the browned ground beef to the pan.	Lasagna: Return the browned mushrooms to the pan.	Lasagna: Return the browned rice noodle to the pan.
Easy beef burritos: Season stir and simmer everything for 20 mins until the beef is in a thick gravy.	Easy beef burritos: Season stir and simmer everything for 20 mins until the quorn mince is in a thick gravy.	Easy beef burritos: Season stir and simmer everything for 20 mins until the red leicester is in a thick gravy.
Molokhia (Mloukhieh): Remove chicken and set aside.	Molokhia (Mloukhieh): Remove quorn chicken and set aside.	Molokhia (Mloukhieh): Remove semolina and set aside.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the olive oil to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the skate to brown or it will discolour the eggs.
Mushroom risotto: Tip 300g risotto rice into the pan and cook for 1 min.	Mushroom risotto: Tip 300g any other rice (but wouldn't be the same *sad face*) into the pan and cook for 1 min.	Mushroom risotto: Tip 300g miso into the pan and cook for 1 min.
Best Lasagna: Add beef and pork (if using) and cook while breaking it up with the end of your spoon until browned.	Best Lasagna: Add  pecorino and pork (if using) and cook while breaking it up with the end of your spoon until browned.	Best Lasagna: Add broccoli and pork (if using) and cook while breaking it up with the end of your spoon until browned.
Roasted Vegetables: In a small bowl whisk together olive oil lemon juice and zest rosemary and garlic and pour over vegetables.	Roasted Vegetables: In a small bowl whisk together vegetable oil lemon juice and zest rosemary and garlic and pour over vegetables.	Roasted Vegetables: In a small bowl whisk together buckwheat flour lemon juice and zest rosemary and garlic and pour over vegetables.
Easy banana bread: In a separate bowl cream the butter and sugar together until light and fluffy.	Easy banana bread: In a separate bowl cream the sunflower spread and sugar together until light and fluffy.	Easy banana bread: In a separate bowl cream the kabana and sugar together until light and fluffy.
Chicken fajitas: Serve with bowls of natural yoghurt and guacamole alongside the Cheddar a grater and the lovely fresh salsa.	Chicken fajitas: Serve with bowls of sour cream and guacamole alongside the Cheddar a grater and the lovely fresh salsa.	Chicken fajitas: Serve with bowls of dogfish and guacamole alongside the Cheddar a grater and the lovely fresh salsa.
Broccoli pesto pasta: Drain the pasta and return it to the pan.	Broccoli pesto pasta: Drain the rice and return it to the pan.	Broccoli pesto pasta: Drain the sapodilla and return it to the pan.
Chickpea Curry: Heat the oil on a medium heat.	Chickpea Curry: Heat the coconut oil  on a medium heat.	Chickpea Curry: Heat the baked bean on a medium heat.
Wild garlic ravioli: Finely chop then add to a bowl with the cream cheese crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the mascarpone crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the cottonseed oil crème fraîche and lemon zest.
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the halloumi back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the horseradish back in and toss in the sauce to coat.
Mushroom Biryani: For the rice	Mushroom Biryani: For the long grain rice	Mushroom Biryani: For the sunflower oil
Wild garlic ravioli: Finely chop then add to a bowl with the cream cheese crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the mascarpone crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the fish crème fraîche and lemon zest.
Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with salmon ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with tuna steak ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with plant-based burger ginger-scallion vinaigrette and sesame oil.
The Hairy Bikers' fish pie with cheese mash: Arrange half the prawns on top of the fish and pour over another third of the sauce.	The Hairy Bikers' fish pie with cheese mash: Arrange half the pcooked prawns ns on top of the fish and pour over another third of the sauce.	The Hairy Bikers' fish pie with cheese mash: Arrange half the pchickpeans on top of the fish and pour over another third of the sauce.
Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the feta cheese cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the fennel cheese chopped coriander and roasted pumpkin.
Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the lentils with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the melon with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.
Japanese-style vegetable stir-fry: Cook the noodles in boiling salted water for 1-2 mins until they&nbsp;are&nbsp;just&nbsp;tender.	Japanese-style vegetable stir-fry: Cook the any other type of noodles (rice noodles in boiling salted water for 1-2 mins until they&nbsp;are&nbsp;just&nbsp;tender.	Japanese-style vegetable stir-fry: Cook the curry sauce in boiling salted water for 1-2 mins until they&nbsp;are&nbsp;just&nbsp;tender.
Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and quinoa through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and butter through.
Chicken fajitas: Using tongs place the pepper onion and chicken onto the griddle and cook for 6 to 8 minutes or until the chicken is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and pepper onto the griddle and cook for 6 to 8 minutes or until the pepper is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and rosemary onto the griddle and cook for 6 to 8 minutes or until the rosemary is golden and cooked through.
Mushroom risotto: Tip 300g risotto rice into the pan and cook for 1 min.	Mushroom risotto: Tip 300g pearl barley into the pan and cook for 1 min.	Mushroom risotto: Tip 300g passata into the pan and cook for 1 min.
Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with salmon ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with tuna steak ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with bamboo shoots ginger-scallion vinaigrette and sesame oil.
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken thighs and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the medlar and marinade to the pan.
Macaroni cheese with veg: Mix 3 tbsp of the milk with the cornflour and warm the remaining milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the  semi skimmed milk with the cornflour and warm the remaining  semi skimmed milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the nut loaf with the cornflour and warm the remaining nut loaf in a pan.
Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen Quorn Fillets	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen seitan fillets 	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen chutney
Easy Peasy Honey Mustard Chicken: Place two chicken breasts in a deep fill dish suitable for oven cooking	Easy Peasy Honey Mustard Chicken: Place two chicken turkey breast in a deep fill dish suitable for oven cooking	Easy Peasy Honey Mustard Chicken: Place two chicken aubergine in a deep fill dish suitable for oven cooking
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml oat milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml gelatine to the pan and bring to the boil.
Pork Tenderloin with Honey Garlic Sauce: Add pork and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add quorn  and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add cuttlefish and sear until golden all over.
Wild Mushroom Risotto: Add remaining butter to pan over medium heat	Wild Mushroom Risotto: Add remaining butter to pan over medium heat	Wild Mushroom Risotto: Add remaining butter to pan over medium heat
Japchae Korean Glass Noodles with Tofu: Add tofu and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add chicken breast and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add partridge and cook 1 minute to warm (do not discard sauce).
Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of butter over medium high heat.	Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of vegan butter over medium high heat.	Creamy Garlic Herb Mushroom Spaghetti: Melt 2 tablespoons of barbeque sauce over medium high heat.
Moroccan Carrot Soup: Add the orange juice coconut milk salt and spices and stir to combine while reheating over low heat.	Moroccan Carrot Soup: Add the orange juice oat milk salt and spices and stir to combine while reheating over low heat.	Moroccan Carrot Soup: Add the orange juice chilli sauce salt and spices and stir to combine while reheating over low heat.
Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi pitta and remaining herbs.	Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese pitta and remaining herbs.	Halloumi & quinoa fattoush: Tip onto a serving plate and top with the raddiccio pitta and remaining herbs.
Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen Quorn Fillets	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen seitan fillets 	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen tigernut
Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the chicken is cooked.	Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the tofu / chicken pieces is cooked.	Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the pheasant is cooked.
Vegetable gyoza: If you’re making your own dough tip the flour and 1 tsp salt into a bowl.	Vegetable gyoza: If you’re making your own dough tip the whole wheat flour and 1 tsp salt into a bowl.	Vegetable gyoza: If you’re making your own dough tip the feijoa and 1 tsp salt into a bowl.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lentils.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g cheddar.
Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is cooked through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the  turkey breast with the marinade and simmer until sauce reduces and thickens and  turkey breast is cooked through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the flounder with the marinade and simmer until sauce reduces and thickens and flounder is cooked through remove from pan and set aside
Cold Peanut Noodle Salad: Bring a pot of water to a boil for the whole wheat spaghetti.	Cold Peanut Noodle Salad: Bring a pot of water to a boil for the  noodles.	Cold Peanut Noodle Salad: Bring a pot of water to a boil for the granulated sugar.
Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dried chickpeas on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour red lentils on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour lemon on top then sprinkle the curry powder evenly over the beans.
Courgette fritters: Combine the grated courgette flour egg and parmesan in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and cheedar in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and plant-based mayonnaise in a large bowl.
Makhani dhal: Meanwhile fry the onions and chillies in the 50g butter for about 7 mins until starting to soften.	Makhani dhal: Meanwhile fry the onions and chillies in the 50g clover or bertolli for about 7 mins until starting to soften.	Makhani dhal: Meanwhile fry the onions and chillies in the 50g cranberries for about 7 mins until starting to soften.
Mushroom Biryani: For the rice	Mushroom Biryani: For the long grain rice	Mushroom Biryani: For the mustard
Vegetable pasta bake: Stir through the mozzarella and pesto top with Parmesan and return to the oven for another 10 minutes until the cheese has melted.	Vegetable pasta bake: Stir through the cheddar  and pesto top with Parmesan and return to the oven for another 10 minutes until the cheese has melted.	Vegetable pasta bake: Stir through the salsify and pesto top with Parmesan and return to the oven for another 10 minutes until the cheese has melted.
Veggie lasagne: For the cheese sauce put the flour butter and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour vegan butter and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour spaghetti squash and milk in a large saucepan and place over a medium heat.
Seared Scallops: In large pan over medium-high heat melt butter with oil.	Seared Scallops: In halloumi pan over medium-high heat melt butter with oil.	Seared Scallops: In ling pan over medium-high heat melt butter with oil.
Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and potatoe through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cajun seasoning through.
Prawn & harissa spaghetti: Stir through the prawns and cook for 2 mins or until turning pink.	Prawn & harissa spaghetti: Stir through the pedamame beansns and cook for 2 mins or until turning pink.	Prawn & harissa spaghetti: Stir through the prhubarbns and cook for 2 mins or until turning pink.
